"Cannot create quote","Kan geen winkelwagen laden"
"Enter your purchase order number","Voer uw inkoopnummer in"
"Purchase Order Number","Aankoop ordernummer"
Ponumber,Inkoopnummer
Loading...,Laden...
"Please wait...","Even geduld aub..."
Enabled,Ingeschakeld
Required,Vereist
Tooltip,Tooltip
Title,Titel
"Po Number","Inkoopnummer"
